ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
LEGACYSQL2012,TEAM13_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM13_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM13_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM13_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM14_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM14_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM14_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM14_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM15_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM15_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM15_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM15_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM16_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM16_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM16_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM16_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM17_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM17_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM17_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM17_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM18_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM18_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM18_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
